left_id,right_id,is_same
p1637,p1637d0,1
p1988,p1988d1,1
p1729,p1729d2,1
p331,p331d3,1
p1273,p1273d4,1
p424,p424d5,1
p578,p578d6,1
p1414,p1414d7,1
p1534,p1534d8,1
p176,p176d9,1
p1366,p1366d10,1
p988,p988d11,1
p264,p264d12,1
p354,p354d13,1
p408,p408d14,1
p320,p320d15,1
p1240,p1240d16,1
p1007,p1007d17,1
p206,p206d18,1
p1625,p1625d19,1
p851,p851d20,1
p1931,p1931d21,1
p1011,p1011d22,1
p621,p621d23,1
p480,p480d24,1
p428,p428d25,1
p1140,p1140d26,1
p96,p96d27,1
p37,p37d28,1
p734,p734d29,1
p1804,p1804d30,1
p534,p534d31,1
p731,p731d32,1
p1386,p1386d33,1
p324,p324d34,1
p357,p357d35,1
p1695,p1695d36,1
p1760,p1760d37,1
p1831,p1831d38,1
p1031,p1031d39,1
p65,p65d40,1
p1652,p1652d41,1
p130,p130d42,1
p691,p691d43,1
p881,p881d44,1
p233,p233d45,1
p1264,p1264d46,1
p464,p464d47,1
p247,p247d48,1
p1150,p1150d49,1
p458,p458d50,1
p996,p996d51,1
p528,p528d52,1
p696,p696d53,1
p1607,p1607d54,1
p727,p727d55,1
p1575,p1575d56,1
p95,p95d57,1
p1577,p1577d58,1
p1797,p1797d59,1
p547,p547d60,1
p1835,p1835d61,1
p309,p309d62,1
p1747,p1747d63,1
p1413,p1413d64,1
p1789,p1789d65,1
p1055,p1055d66,1
p1237,p1237d67,1
p1371,p1371d68,1
p213,p213d69,1
p1446,p1446d70,1
p103,p103d71,1
p1897,p1897d72,1
p1937,p1937d73,1
p896,p896d74,1
p1636,p1636d75,1
p936,p936d76,1
p1971,p1971d77,1
p1723,p1723d78,1
p1547,p1547d79,1
p227,p227d80,1
p1996,p1996d81,1
p216,p216d82,1
p1600,p1600d83,1
p1250,p1250d84,1
p1248,p1248d85,1
p1601,p1601d86,1
p1757,p1757d87,1
p1940,p1940d88,1
p208,p208d89,1
p1686,p1686d90,1
p1151,p1151d91,1
p85,p85d92,1
p1038,p1038d93,1
p215,p215d94,1
p342,p342d95,1
p1290,p1290d96,1
p241,p241d97,1
p1783,p1783d98,1
p420,p420d99,1
p1865,p1865d100,1
p740,p740d101,1
p321,p321d102,1
p1491,p1491d103,1
p598,p598d104,1
p1450,p1450d105,1
p904,p904d106,1
p1560,p1560d107,1
p1036,p1036d108,1
p1020,p1020d109,1
p1500,p1500d110,1
p1782,p1782d111,1
p203,p203d112,1
p315,p315d113,1
p1325,p1325d114,1
p744,p744d115,1
p685,p685d116,1
p1677,p1677d117,1
p282,p282d118,1
p251,p251d119,1
p1737,p1737d120,1
p413,p413d121,1
p899,p899d122,1
p1985,p1985d123,1
p1574,p1574d124,1
p13,p13d125,1
p502,p502d126,1
p1709,p1709d127,1
p1657,p1657d128,1
p970,p970d129,1
p699,p699d130,1
p587,p587d131,1
p1034,p1034d132,1
p350,p350d133,1
p174,p174d134,1
p544,p544d135,1
p762,p762d136,1
p1464,p1464d137,1
p1545,p1545d138,1
p849,p849d139,1
p738,p738d140,1
p1289,p1289d141,1
p1361,p1361d142,1
p310,p310d143,1
p1542,p1542d144,1
p1543,p1543d145,1
p1084,p1084d146,1
p863,p863d147,1
p1612,p1612d148,1
p467,p467d149,1
p1642,p1642d150,1
p878,p878d151,1
p846,p846d152,1
p1880,p1880d153,1
p838,p838d154,1
p1839,p1839d155,1
p939,p939d156,1
p1949,p1949d157,1
p1745,p1745d158,1
p1057,p1057d159,1
p1627,p1627d160,1
p1397,p1397d161,1
p1932,p1932d162,1
p60,p60d163,1
p906,p906d164,1
p298,p298d165,1
p20,p20d166,1
p1469,p1469d167,1
p1651,p1651d168,1
p1059,p1059d169,1
p142,p142d170,1
p173,p173d171,1
p692,p692d172,1
p644,p644d173,1
p822,p822d174,1
p1581,p1581d175,1
p336,p336d176,1
p888,p888d177,1
p125,p125d178,1
p805,p805d179,1
p1554,p1554d180,1
p75,p75d181,1
p1352,p1352d182,1
p1889,p1889d183,1
p1313,p1313d184,1
p1848,p1848d185,1
p1176,p1176d186,1
p118,p118d187,1
p1293,p1293d188,1
p1460,p1460d189,1
p1793,p1793d190,1
p1064,p1064d191,1
p1992,p1992d192,1
p605,p605d193,1
p858,p858d194,1
p823,p823d195,1
p1814,p1814d196,1
p1394,p1394d197,1
p1435,p1435d198,1
p1133,p1133d199,1
p623,p623d200,1
p1477,p1477d201,1
p1521,p1521d202,1
p642,p642d203,1
p1862,p1862d204,1
p704,p704d205,1
p16,p16d206,1
p1693,p1693d207,1
p572,p572d208,1
p1843,p1843d209,1
p1080,p1080d210,1
p1885,p1885d211,1
p300,p300d212,1
p1434,p1434d213,1
p827,p827d214,1
p913,p913d215,1
p1318,p1318d216,1
p1817,p1817d217,1
p1114,p1114d218,1
p1278,p1278d219,1
p1614,p1614d220,1
p1266,p1266d221,1
p1335,p1335d222,1
p905,p905d223,1
p1428,p1428d224,1
p707,p707d225,1
p1662,p1662d226,1
p1328,p1328d227,1
p828,p828d228,1
p1588,p1588d229,1
p404,p404d230,1
p617,p617d231,1
p172,p172d232,1
p1100,p1100d233,1
p798,p798d234,1
p1485,p1485d235,1
p1472,p1472d236,1
p1515,p1515d237,1
p1801,p1801d238,1
p258,p258d239,1
p1065,p1065d240,1
p1107,p1107d241,1
p581,p581d242,1
p437,p437d243,1
p190,p190d244,1
p1047,p1047d245,1
p1130,p1130d246,1
p639,p639d247,1
p1067,p1067d248,1
p697,p697d249,1
p1550,p1550d250,1
p1301,p1301d251,1
p327,p327d252,1
p47,p47d253,1
p57,p57d254,1
p1823,p1823d255,1
p1631,p1631d256,1
p1105,p1105d257,1
p1213,p1213d258,1
p529,p529d259,1
p494,p494d260,1
p1704,p1704d261,1
p1585,p1585d262,1
p622,p622d263,1
p1487,p1487d264,1
p865,p865d265,1
p226,p226d266,1
p1499,p1499d267,1
p122,p122d268,1
p763,p763d269,1
p531,p531d270,1
p1284,p1284d271,1
p1039,p1039d272,1
p725,p725d273,1
p253,p253d274,1
p97,p97d275,1
p1549,p1549d276,1
p1333,p1333d277,1
p1927,p1927d278,1
p255,p255d279,1
p919,p919d280,1
p610,p610d281,1
p1172,p1172d282,1
p1509,p1509d283,1
p10,p10d284,1
p928,p928d285,1
p694,p694d286,1
p483,p483d287,1
p1649,p1649d288,1
p1527,p1527d289,1
p1191,p1191d290,1
p1158,p1158d291,1
p1463,p1463d292,1
p1920,p1920d293,1
p1285,p1285d294,1
p1362,p1362d295,1
p1092,p1092d296,1
p1219,p1219d297,1
p478,p478d298,1
p717,p717d299,1
p0,p114,0
p1,p7,0
p2,p51,0
p3,p55,0
p4,p623,0
p5,p680,0
p6,p61,0
p7,p90,0
p8,p876,0
p10,p237,0
p11,p48,0
p12,p9,0
p13,p84,0
p14,p44,0
p15,p18,0
p16,p35,0
p17,p28,0
p18,p222,0
p19,p276,0
p20,p91,0
p21,p68,0
p22,p307,0
p23,p235,0
p24,p469,0
p25,p54,0
p26,p498,0
p27,p58,0
p28,p297,0
p29,p337,0
p30,p448,0
p31,p724,0
p32,p53,0
p34,p41,0
p35,p383,0
p36,p520,0
p37,p374,0
p38,p607,0
p39,p49,0
p40,p488,0
p41,p518,0
p42,p65,0
p43,p438,0
p44,p46,0
p45,p984,0
p46,p47,0
p47,p57,0
p48,p660,0
p49,p60,0
p50,p513,0
p51,p56,0
p52,p572,0
p53,p567,0
p54,p576,0
p55,p602,0
p56,p94,0
p57,p59,0
p58,p81,0
p59,p97,0
p60,p634,0
p61,p697,0
p62,p839,0
p63,p845,0
p64,p78,0
p65,p76,0
p66,p684,0
p67,p688,0
p68,p69,0
p69,p88,0
p70,p745,0
p71,p8,0
p72,p99,0
p73,p769,0
p74,p765,0
p75,p840,0
p76,p806,0
p77,p803,0
p78,p80,0
p79,p82,0
p80,p98,0
p81,p820,0
p83,p932,0
p84,p857,0
p85,p857,0
p86,p896,0
p88,p959,0
p90,p93,0
p92,p96,0
p93,p952,0
p94,p95,0
p95,p991,0
p96,p988,0
p97,p983,0
p99,p996,0
p100,p132,0
p101,p221,0
p102,p31,0
p103,p23,0
p104,p52,0
p105,p128,0
p106,p70,0
p107,p2,0
p108,p2,0
p109,p74,0
p110,p329,0
p111,p227,0
p112,p52,0
p113,p167,0
p114,p408,0
p115,p122,0
p116,p373,0
p117,p39,0
p118,p41,0
p119,p141,0
p120,p7,0
p121,p791,0
p122,p255,0
p123,p22,0
p124,p30,0
p125,p33,0
p126,p42,0
p127,p146,0
p128,p233,0
p129,p32,0
p130,p23,0
p131,p39,0
p132,p168,0
p133,p316,0
p134,p7,0
p135,p3,0
p136,p238,0
p137,p84,0
p138,p70,0
p139,p201,0
p140,p87,0
p141,p204,0
p142,p201,0
p143,p432,0
p144,p42,0
p145,p70,0
p146,p242,0
p147,p149,0
p148,p15,0
p149,p155,0
p150,p49,0
p151,p44,0
p152,p44,0
p153,p7,0
p154,p157,0
p155,p234,0
p156,p17,0
p157,p323,0
p158,p215,0
p159,p210,0
p160,p79,0
p161,p20,0
p162,p48,0
p163,p218,0
p164,p43,0
p165,p33,0
p166,p63,0
p167,p193,0
p168,p271,0
p169,p360,0
p170,p259,0
p171,p39,0
p172,p220,0
p173,p626,0
p174,p19,0
p175,p257,0
p176,p30,0
p177,p73,0
p178,p43,0
p179,p281,0
p180,p343,0
p181,p27,0
p182,p42,0
p183,p202,0
p184,p83,0
p185,p207,0
p186,p310,0
p187,p24,0
p188,p27,0
p189,p231,0
p190,p253,0
p191,p71,0
p192,p70,0
p193,p261,0
p194,p205,0
p195,p75,0
p196,p431,0
p197,p215,0
p198,p28,0
p199,p83,0
p200,p44,0
p201,p265,0
p202,p246,0
p203,p363,0
p204,p523,0
p205,p313,0
p206,p235,0
p207,p301,0
p208,p275,0
p209,p531,0
p210,p658,0
p211,p309,0
p212,p68,0
p213,p70,0
p214,p26,0
p215,p264,0
p216,p22,0
p217,p74,0
p218,p479,0
p219,p42,0
p220,p447,0
p221,p449,0
p222,p315,0
p223,p417,0
p224,p84,0
p225,p310,0
p226,p27,0
p227,p230,0
p228,p51,0
p229,p32,0
p230,p427,0
p231,p303,0
p232,p42,0
p233,p311,0
p234,p610,0
p235,p86,0
p236,p512,0
p237,p656,0
p239,p294,0
p240,p73,0
p241,p36,0
p242,p558,0
p243,p34,0
p244,p32,0
p245,p287,0
p246,p428,0
p247,p73,0
p248,p25,0
p249,p66,0
p250,p64,0
p251,p27,0
p252,p64,0
p253,p406,0
p254,p51,0
p255,p475,0
p256,p260,0
p257,p280,0
p258,p262,0
p259,p344,0
p260,p272,0
p261,p474,0
p262,p282,0
p263,p39,0
p264,p279,0
p265,p695,0
p266,p70,0
p267,p38,0
p268,p396,0
p269,p27,0
p270,p66,0
p271,p641,0
p272,p330,0
p273,p286,0
p274,p62,0
p275,p278,0
p276,p290,0
p277,p73,0
p278,p611,0
p279,p353,0
p280,p401,0
p281,p291,0
p282,p555,0
p283,p7,0
p284,p39,0
p285,p42,0
p286,p482,0
p287,p345,0
p288,p361,0
p289,p35,0
p290,p341,0
p291,p346,0
